Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","661","Cocoa, beans","2010","2010","hg/ha","3941","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","661","Cocoa, beans","2011","2011","hg/ha","3582","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","661","Cocoa, beans","2012","2012","hg/ha","4014","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","661","Cocoa, beans","2013","2013","hg/ha","4104","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","661","Cocoa, beans","2014","2014","hg/ha","3769","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","661","Cocoa, beans","2015","2015","hg/ha","4039","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","661","Cocoa, beans","2016","2016","hg/ha","4050","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","661","Cocoa, beans","2017","2017","hg/ha","4104","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","661","Cocoa, beans","2018","2018","hg/ha","4119","Fc","Calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","661","Cocoa, beans","2010","2010","hg/ha","5711","Fc","Calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","661","Cocoa, beans","2011","2011","hg/ha","5628","Fc","Calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","661","Cocoa, beans","2012","2012","hg/ha","5411","Fc","Calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","661","Cocoa, beans","2013","2013","hg/ha","5305","Fc","Calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","661","Cocoa, beans","2014","2014","hg/ha","5310","Fc","Calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","661","Cocoa, beans","2015","2015","hg/ha","5194","Fc","Calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","661","Cocoa, beans","2016","2016","hg/ha","5157","Fc","Calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","661","Cocoa, beans","2017","2017","hg/ha","5040","Fc","Calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","661","Cocoa, beans","2018","2018","hg/ha","4848","Fc","Calculated data"
"QCL","Crops and livestock products","58","Ecuador","5419","Yield","661","Cocoa, beans","2010","2010","hg/ha","3669","Fc","Calculated data"
"QCL","Crops and livestock products","58","Ecuador","5419","Yield","661","Cocoa, beans","2011","2011","hg/ha","5612","Fc","Calculated data"
"QCL","Crops and livestock products","58","Ecuador","5419","Yield","661","Cocoa, beans","2012","2012","hg/ha","3417","Fc","Calculated data"
"QCL","Crops and livestock products","58","Ecuador","5419","Yield","661","Cocoa, beans","2013","2013","hg/ha","3192","Fc","Calculated data"
"QCL","Crops and livestock products","58","Ecuador","5419","Yield","661","Cocoa, beans","2014","2014","hg/ha","4192","Fc","Calculated data"
"QCL","Crops and livestock products","58","Ecuador","5419","Yield","661","Cocoa, beans","2015","2015","hg/ha","4170","Fc","Calculated data"
"QCL","Crops and livestock products","58","Ecuador","5419","Yield","661","Cocoa, beans","2016","2016","hg/ha","3909","Fc","Calculated data"
"QCL","Crops and livestock products","58","Ecuador","5419","Yield","661","Cocoa, beans","2017","2017","hg/ha","4407","Fc","Calculated data"
"QCL","Crops and livestock products","58","Ecuador","5419","Yield","661","Cocoa, beans","2018","2018","hg/ha","4685","Fc","Calculated data"
"QCL","Crops and livestock products","81","Ghana","5419","Yield","661","Cocoa, beans","2010","2010","hg/ha","3950","Fc","Calculated data"
"QCL","Crops and livestock products","81","Ghana","5419","Yield","661","Cocoa, beans","2011","2011","hg/ha","4374","Fc","Calculated data"
"QCL","Crops and livestock products","81","Ghana","5419","Yield","661","Cocoa, beans","2012","2012","hg/ha","5495","Fc","Calculated data"
"QCL","Crops and livestock products","81","Ghana","5419","Yield","661","Cocoa, beans","2013","2013","hg/ha","5221","Fc","Calculated data"
"QCL","Crops and livestock products","81","Ghana","5419","Yield","661","Cocoa, beans","2014","2014","hg/ha","5100","Fc","Calculated data"
"QCL","Crops and livestock products","81","Ghana","5419","Yield","661","Cocoa, beans","2015","2015","hg/ha","5100","Fc","Calculated data"
"QCL","Crops and livestock products","81","Ghana","5419","Yield","661","Cocoa, beans","2016","2016","hg/ha","5100","Fc","Calculated data"
"QCL","Crops and livestock products","81","Ghana","5419","Yield","661","Cocoa, beans","2017","2017","hg/ha","5190","Fc","Calculated data"
"QCL","Crops and livestock products","81","Ghana","5419","Yield","661","Cocoa, beans","2018","2018","hg/ha","5299","Fc","Calculated data"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","661","Cocoa, beans","2010","2010","hg/ha","3137","Fc","Calculated data"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","661","Cocoa, beans","2011","2011","hg/ha","3150","Fc","Calculated data"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","661","Cocoa, beans","2012","2012","hg/ha","3024","Fc","Calculated data"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","661","Cocoa, beans","2013","2013","hg/ha","2960","Fc","Calculated data"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","661","Cocoa, beans","2014","2014","hg/ha","2882","Fc","Calculated data"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","661","Cocoa, beans","2015","2015","hg/ha","2858","Fc","Calculated data"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","661","Cocoa, beans","2016","2016","hg/ha","2841","Fc","Calculated data"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","661","Cocoa, beans","2017","2017","hg/ha","2815","Fc","Calculated data"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","661","Cocoa, beans","2018","2018","hg/ha","2780","Fc","Calculated data"
