Variable:,tas,,,,,,,,,,,,,,
,Cote d'Ivoire,Denguele,Savanes,Vallee Du Bandama,Zanzan,Comoe,District autonome de Abidjan,District autonome de Yamoussoukro,Gôh-Djiboua,Lacs,Lagunes,Montagnes,Sassandra-Marahoue,Woroba,Bas Sassandra
1901,26.47,26.28,26.71,26.63,26.78,26.63,26.67,26.67,26.49,26.94,26.79,25.76,26.36,26.2,26.04
1902,26.45,26.29,26.78,26.62,26.89,26.63,26.65,26.62,26.42,26.92,26.76,25.63,26.28,26.14,25.94
1903,26.41,26.07,26.72,26.62,26.97,26.64,26.66,26.62,26.43,26.94,26.78,25.47,26.19,25.99,25.95
1904,26.34,26.05,26.72,26.59,26.97,26.63,26.64,26.53,26.31,26.89,26.72,25.3,26.07,25.92,25.77
1905,26.35,26.03,26.63,26.55,26.79,26.6,26.65,26.6,26.41,26.87,26.75,25.48,26.18,25.96,25.93
1906,26.38,25.98,26.65,26.58,26.99,26.69,26.66,26.61,26.42,26.94,26.78,25.45,26.16,25.93,25.93
1907,26.29,25.87,26.56,26.52,26.84,26.64,26.64,26.53,26.35,26.87,26.74,25.32,26.08,25.83,25.84
1908,26.37,26.15,26.73,26.59,26.93,26.64,26.64,26.55,26.33,26.88,26.74,25.42,26.15,26,25.81
1909,26.35,26.12,26.72,26.57,26.88,26.61,26.64,26.54,26.33,26.87,26.74,25.36,26.11,25.97,25.8
1910,26.45,26.19,26.75,26.63,26.96,26.67,26.66,26.63,26.44,26.94,26.78,25.6,26.26,26.08,25.97
1911,26.29,25.92,26.55,26.51,26.74,26.62,26.64,26.55,26.36,26.86,26.74,25.41,26.12,25.88,25.85
1912,26.53,26.36,26.84,26.67,27,26.68,26.66,26.68,26.5,26.96,26.79,25.79,26.38,26.23,26.05
1913,26.4,26.07,26.69,26.61,27.02,26.71,26.65,26.61,26.38,26.93,26.76,25.49,26.19,26.01,25.88
1914,26.44,26.1,26.78,26.66,27.15,26.74,26.66,26.61,26.39,26.96,26.78,25.48,26.19,26.02,25.88
1915,26.42,26.15,26.59,26.56,26.7,26.63,26.67,26.68,26.5,26.92,26.79,25.76,26.36,26.14,26.05
1916,26.29,25.88,26.38,26.44,26.49,26.62,26.65,26.63,26.44,26.87,26.77,25.61,26.26,25.96,25.96
1917,26.27,25.9,26.43,26.46,26.58,26.62,26.65,26.56,26.37,26.86,26.75,25.46,26.15,25.9,25.86
1918,26.16,25.71,26.28,26.36,26.5,26.62,26.65,26.5,26.3,26.82,26.73,25.32,26.05,25.75,25.77
1919,26.27,25.93,26.66,26.54,26.96,26.63,26.63,26.47,26.23,26.85,26.71,25.15,25.96,25.81,25.66
1920,26.35,26.03,26.73,26.61,27.02,26.69,26.69,26.55,26.31,26.92,26.77,25.27,26.06,25.91,25.75
1921,26.3,25.98,26.69,26.57,26.96,26.63,26.63,26.49,26.26,26.86,26.71,25.24,26.02,25.87,25.71
1922,26.3,25.93,26.58,26.53,26.77,26.64,26.65,26.53,26.33,26.88,26.74,25.35,26.1,25.9,25.8
1923,26.21,25.93,26.46,26.37,26.6,26.44,26.52,26.44,26.29,26.71,26.62,25.39,26.05,25.85,25.82
1924,26.24,25.87,26.59,26.49,26.89,26.58,26.62,26.45,26.25,26.81,26.69,25.17,25.96,25.78,25.7
1925,25.99,25.81,26.37,26.2,26.53,26.2,26.26,26.15,25.96,26.48,26.34,25.02,25.74,25.62,25.46
1926,26.25,25.79,26.44,26.41,26.74,26.75,26.82,26.5,26.38,26.83,26.86,25.27,26.02,25.75,25.94
1927,25.59,25.18,25.76,25.72,25.98,26.01,26.13,25.85,25.74,26.13,26.16,24.69,25.38,25.14,25.33
1928,25.57,25.15,25.79,25.75,26.1,25.96,26.05,25.81,25.67,26.15,26.11,24.6,25.33,25.09,25.2
1929,25.6,25.05,25.73,25.76,26.04,26.03,26.22,25.93,25.84,26.22,26.26,24.65,25.4,25.06,25.37
1930,25.85,25.32,26.08,26.06,26.49,26.42,26.46,26.12,25.97,26.49,26.49,24.75,25.57,25.29,25.41
1931,26.39,26.05,26.78,26.68,27.14,26.9,26.83,26.61,26.34,27.04,26.9,25.18,26.06,25.92,25.69
1932,26.26,25.84,26.58,26.53,26.97,26.8,26.74,26.51,26.25,26.91,26.8,25.09,25.96,25.76,25.63
1933,26.29,25.81,26.56,26.56,27,26.83,26.78,26.58,26.32,26.96,26.85,25.16,26.01,25.77,25.71
1934,26.43,26.03,26.75,26.71,27.18,26.9,26.84,26.68,26.4,27.09,26.94,25.28,26.14,25.94,25.78
1935,26.31,26.04,26.83,26.61,27.22,26.6,26.5,26.42,26.14,26.82,26.61,25.12,25.92,25.86,25.55
1936,26.24,25.92,26.61,26.49,26.9,26.56,26.58,26.44,26.23,26.8,26.67,25.15,25.96,25.78,25.67
1937,26.84,26.33,27.36,27.27,28.03,27.33,27.09,26.97,26.55,27.53,27.22,25.48,26.35,26.25,25.88
1938,26.93,26.45,27.47,27.38,28.2,27.48,27.19,27.05,26.58,27.65,27.33,25.51,26.39,26.33,25.87
1939,26.67,26.33,27.19,27.06,27.64,27.1,26.92,26.79,26.43,27.31,27.04,25.41,26.24,26.18,25.77
1940,26.42,26.15,26.81,26.68,27.05,26.73,26.72,26.61,26.38,26.97,26.81,25.36,26.15,26.01,25.83
1941,26.77,26.41,27.12,27,27.46,27.17,27.17,26.95,26.75,27.35,27.25,25.68,26.46,26.27,26.22
1942,26.47,26.16,26.85,26.71,27.19,26.85,26.83,26.66,26.42,27.04,26.91,25.39,26.17,26.01,25.87
1943,26.13,25.75,26.42,26.34,26.78,26.52,26.54,26.33,26.14,26.7,26.6,25.09,25.84,25.66,25.62
1944,26.62,26.28,26.97,26.86,27.26,26.98,26.98,26.83,26.61,27.19,27.06,25.55,26.34,26.15,26.06
1945,26.49,26.18,26.82,26.71,27.03,26.8,26.87,26.71,26.52,27.04,26.93,25.49,26.25,26.05,26.01
1946,26.22,25.93,26.56,26.44,26.79,26.53,26.59,26.42,26.23,26.76,26.66,25.23,25.97,25.8,25.73
1947,26.48,26.22,26.93,26.76,27.18,26.82,26.78,26.66,26.39,27.05,26.87,25.36,26.17,26.04,25.81
1948,26.11,25.8,26.48,26.37,26.74,26.44,26.47,26.32,26.1,26.68,26.55,25.05,25.84,25.67,25.56
1949,26.48,26.1,26.85,26.74,27.21,26.88,26.86,26.69,26.44,27.08,26.94,25.34,26.16,25.98,25.86
1950,26.13,25.96,26.49,26.32,26.63,26.41,26.44,26.38,26.13,26.64,26.52,25.09,25.89,25.8,25.57
1951,26.51,26.15,26.88,26.81,27.14,26.84,26.83,26.77,26.5,27.07,26.94,25.39,26.31,26.07,25.92
1952,26.49,26.03,26.81,26.79,27.06,26.77,26.82,26.8,26.53,27.09,26.93,25.44,26.35,26.03,25.96
1953,26.52,26.17,26.88,26.82,27.06,26.76,26.8,26.82,26.55,27.08,26.94,25.46,26.35,26.08,25.97
1954,26.24,25.79,26.59,26.58,26.83,26.51,26.55,26.52,26.25,26.84,26.66,25.17,26.08,25.79,25.68
1955,26.17,25.96,26.56,26.45,26.65,26.38,26.44,26.41,26.16,26.68,26.54,25.15,26.03,25.77,25.63
1956,26.17,25.97,26.61,26.47,26.74,26.35,26.41,26.36,26.11,26.67,26.51,25.08,25.95,25.77,25.56
1957,26.44,26.09,26.84,26.77,26.99,26.65,26.71,26.67,26.41,26.97,26.82,25.42,26.27,26.06,25.86
1958,26.53,26.28,27.04,26.87,27.2,26.68,26.72,26.69,26.42,27.02,26.84,25.43,26.26,26.18,25.87
1959,26.44,26.04,26.85,26.79,27.12,26.75,26.79,26.74,26.43,27.08,26.89,25.24,26.17,25.98,25.79
1960,26.36,26.01,26.68,26.64,26.91,26.69,26.73,26.62,26.36,26.97,26.82,25.32,26.13,25.94,25.8
1961,26.29,25.75,26.52,26.62,26.85,26.66,26.68,26.61,26.37,26.94,26.79,25.26,26.15,25.84,25.81
1962,26.28,25.75,26.54,26.61,26.84,26.62,26.65,26.58,26.31,26.89,26.75,25.27,26.13,25.86,25.75
1963,26.56,26.09,26.87,26.89,27.19,26.92,26.93,26.83,26.57,27.19,27.03,25.47,26.34,26.12,25.99
1964,26.11,25.76,26.46,26.38,26.69,26.36,26.42,26.29,26.14,26.63,26.5,25.08,25.89,25.71,25.58
