Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","661","Cocoa, beans","2010","2010","ha","670000","F","FAO estimate"
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","661","Cocoa, beans","2011","2011","ha","670000","F","FAO estimate"
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","661","Cocoa, beans","2012","2012","ha","670000","F","FAO estimate"
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","661","Cocoa, beans","2013","2013","ha","670000","F","FAO estimate"
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","661","Cocoa, beans","2014","2014","ha","714261","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","661","Cocoa, beans","2015","2015","ha","767555","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","661","Cocoa, beans","2016","2016","ha","520947","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","661","Cocoa, beans","2017","2017","ha","599844","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","661","Cocoa, beans","2018","2018","ha","606649","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","661","Cocoa, beans","2010","2010","hg/ha","3941","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","661","Cocoa, beans","2011","2011","hg/ha","3582","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","661","Cocoa, beans","2012","2012","hg/ha","4014","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","661","Cocoa, beans","2013","2013","hg/ha","4104","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","661","Cocoa, beans","2014","2014","hg/ha","3769","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","661","Cocoa, beans","2015","2015","hg/ha","4039","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","661","Cocoa, beans","2016","2016","hg/ha","4050","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","661","Cocoa, beans","2017","2017","hg/ha","4104","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","661","Cocoa, beans","2018","2018","hg/ha","4119","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5510","Production","661","Cocoa, beans","2010","2010","tonnes","264077","","Official data"
"QCL","Crops and livestock products","32","Cameroon","5510","Production","661","Cocoa, beans","2011","2011","tonnes","240000","","Official data"
"QCL","Crops and livestock products","32","Cameroon","5510","Production","661","Cocoa, beans","2012","2012","tonnes","268941","","Official data"
"QCL","Crops and livestock products","32","Cameroon","5510","Production","661","Cocoa, beans","2013","2013","tonnes","275000","","Official data"
"QCL","Crops and livestock products","32","Cameroon","5510","Production","661","Cocoa, beans","2014","2014","tonnes","269228","Im","FAO data based on imputation methodology"
