Entity,Code,Year, Crops (tonnes)
Cameroon,CMR,2010,264077
Cameroon,CMR,2011,240000
Cameroon,CMR,2012,268941
Cameroon,CMR,2013,275000
Cameroon,CMR,2014,271297
Cameroon,CMR,2015,274939
Cameroon,CMR,2016,293169
Cameroon,CMR,2017,300511
Cameroon,CMR,2018,307867
Cote d'Ivoire,CIV,2010,1301347
Cote d'Ivoire,CIV,2011,1511255
Cote d'Ivoire,CIV,2012,1485882
Cote d'Ivoire,CIV,2013,1448992
Cote d'Ivoire,CIV,2014,1617841
Cote d'Ivoire,CIV,2015,1796000
Cote d'Ivoire,CIV,2016,1634000
Cote d'Ivoire,CIV,2017,2034000
Cote d'Ivoire,CIV,2018,1963949
Ecuador,ECU,2010,132099
Ecuador,ECU,2011,224163
Ecuador,ECU,2012,133323
Ecuador,ECU,2013,128446
Ecuador,ECU,2014,156216
Ecuador,ECU,2015,180192
Ecuador,ECU,2016,177551
Ecuador,ECU,2017,205955
Ecuador,ECU,2018,235182
Ghana,GHA,2010,632037
Ghana,GHA,2011,700020
Ghana,GHA,2012,879348
Ghana,GHA,2013,835466
Ghana,GHA,2014,858720
Ghana,GHA,2015,858720
Ghana,GHA,2016,858720
Ghana,GHA,2017,893598
Ghana,GHA,2018,947632
Nigeria,NGA,2010,399200
Nigeria,NGA,2011,391000
Nigeria,NGA,2012,383000
Nigeria,NGA,2013,367000
Nigeria,NGA,2014,329870
Nigeria,NGA,2015,302066
Nigeria,NGA,2016,298029
Nigeria,NGA,2017,324391
Nigeria,NGA,2018,332927
