Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","661","Cocoa, beans","2010","2010","ha","670000","F","FAO estimate"
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","661","Cocoa, beans","2011","2011","ha","670000","F","FAO estimate"
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","661","Cocoa, beans","2012","2012","ha","670000","F","FAO estimate"
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","661","Cocoa, beans","2013","2013","ha","670000","F","FAO estimate"
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","661","Cocoa, beans","2014","2014","ha","714261","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","661","Cocoa, beans","2015","2015","ha","767555","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","661","Cocoa, beans","2016","2016","ha","520947","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","661","Cocoa, beans","2017","2017","ha","599844","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","661","Cocoa, beans","2018","2018","ha","606649","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2010","2010","ha","2278786","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2011","2011","ha","2685121","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2012","2012","ha","2746080","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2013","2013","ha","2731411","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2014","2014","ha","3084498","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2015","2015","ha","3458163","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2016","2016","ha","3168749","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2017","2017","ha","4035466","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2018","2018","ha","4359104","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","58","Ecuador","5312","Area harvested","661","Cocoa, beans","2010","2010","ha","360025","","Official data"
"QCL","Crops and livestock products","58","Ecuador","5312","Area harvested","661","Cocoa, beans","2011","2011","ha","399467","","Official data"
"QCL","Crops and livestock products","58","Ecuador","5312","Area harvested","661","Cocoa, beans","2012","2012","ha","390176","","Official data"
"QCL","Crops and livestock products","58","Ecuador","5312","Area harvested","661","Cocoa, beans","2013","2013","ha","402434","","Official data"
