Item,Area,Year,Unit,Value
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2010,I$,3086.2
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2011,I$,3126.8
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2012,I$,3180.8
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2013,I$,3262.8
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2014,I$,3362.7
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2015,I$,3458.7
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2016,I$,3524.4
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2017,I$,3554.5
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2018,I$,3603.5
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2019,I$,3642.3
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2020,I$,3576.3
Value of food imports in total merchandise exports (percent) (3-year average),Cameroon,2009-2011,%,20.0
Value of food imports in total merchandise exports (percent) (3-year average),Cameroon,2010-2012,%,20.0
Value of food imports in total merchandise exports (percent) (3-year average),Cameroon,2011-2013,%,24.0
Value of food imports in total merchandise exports (percent) (3-year average),Cameroon,2012-2014,%,23.0
Value of food imports in total merchandise exports (percent) (3-year average),Cameroon,2013-2015,%,23.0
Value of food imports in total merchandise exports (percent) (3-year average),Cameroon,2014-2016,%,21.0
Value of food imports in total merchandise exports (percent) (3-year average),Cameroon,2015-2017,%,25.0
Value of food imports in total merchandise exports (percent) (3-year average),Cameroon,2016-2018,%,25.0
Value of food imports in total merchandise exports (percent) (3-year average),Cameroon,2017-2019,%,25.0
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2010,I$,3660.9
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2011,I$,3417.8
