Item,Area,Year,Unit,Value
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2010,I$,3086.2
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2011,I$,3126.8
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2012,I$,3180.8
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2013,I$,3262.8
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2014,I$,3362.7
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2015,I$,3458.7
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2016,I$,3524.4
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2017,I$,3554.5
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2018,I$,3603.5
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2019,I$,3642.3
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Cameroon,2020,I$,3576.3
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2010,I$,3660.9
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2011,I$,3417.8
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2012,I$,3692.6
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2013,I$,3922.5
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2014,I$,4161.9
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2015,I$,4417.2
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2016,I$,4615.7
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2017,I$,4830.8
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2018,I$,5033.5
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2019,I$,5212.6
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Côte d'Ivoire,2020,I$,5174.1
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2010,I$,10341.0
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2011,I$,10984.3
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2012,I$,11431.4
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2013,I$,11818.6
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2014,I$,12078.5
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2015,I$,11896.4
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2016,I$,11551.6
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2017,I$,11617.9
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2018,I$,11561.7
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2019,I$,11370.6
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ecuador,2020,I$,10329.2
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ghana,2010,I$,3729.5
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ghana,2011,I$,4151.5
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ghana,2012,I$,4431.0
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ghana,2013,I$,4645.8
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ghana,2014,I$,4670.2
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ghana,2015,I$,4662.3
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ghana,2016,I$,4712.5
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ghana,2017,I$,4983.7
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ghana,2018,I$,5177.9
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ghana,2019,I$,5396.9
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Ghana,2020,I$,5305.0
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Nigeria,2010,I$,4932.3
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Nigeria,2011,I$,5056.9
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Nigeria,2012,I$,5131.4
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Nigeria,2013,I$,5329.1
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Nigeria,2014,I$,5516.4
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Nigeria,2015,I$,5514.8
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Nigeria,2016,I$,5284.9
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Nigeria,2017,I$,5190.4
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Nigeria,2018,I$,5155.1
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Nigeria,2019,I$,5135.5
"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Nigeria,2020,I$,4916.7
